location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters
Московская область,sale,flat,24,44,3,137.0,125000000.0,Раменки,Минская ,2.0,Минская,Долина Сетунь,2017.0,-1.0,-1,-1.0,-1,89 м²,10 м²
Московская область,sale,flat,7,21,4,160.6,168000000.0,Пресненский,2-я Звенигородская ,16.0,Улица 1905 года,Lucky,2023.0,-1.0,-1,-1.0,-1,109 м²,10 м²
Московская область,sale,flat,4,5,3,115.0,98000000.0,Хамовники,Кропоткинский переулок,23.840736040609137,Парк Культуры,Lucky,2021.0,-1.0,-1,-1.0,-1,82 м²,15 м²
Московская область,sale,flat,3,9,4,287.0,350000000.0,Хамовники,Саввинская набережная,13.0,Киевская,SAVVIN RIVER RESIDENCE,2021.0,-1.0,-1,-1.0,-1,-1,"16,2 м²"
Московская область,sale,flat,10,17,2,52.2,9890000.0,Пресненский, Свердлова,50.0,Щёлковская,Lucky,2006.0,-1.0,-1,-1.0,-1,"35,5 м²","9,6 м²"
Московская область,sale,flat,4,5,1,40.17,14461200.0,Вахитовский,Ленинградский проспект,23.840736040609137,Кремлёвская,Дом на Исхаки ЖК,2026.0,-1.0,Монолитно-кирпичный,-1.0,Предчистовая,"13,4 м²","11,6 м²"
Московская область,sale,flat,4,38,2,65.0,23000000.0,Ростокино,проспект Мира,23.840736040609137,Ростокино,Триколор,2015.0,-1.0,-1,-1.0,-1,40 м²,15 м²
Московская область,sale,flat,19,32,1,32.2,25000000.0,Пресненский,Шмитовский проезд,23.840736040609137,Шелепиха,Headliner,2019.0,-1.0,-1,-1.0,-1,-1,7 м²
Московская область,sale,flat,2,8,1,37.77,11535739.0,Вахитовский,Ленинградский проспект,23.840736040609137,Площадь Тукая,Яналиф ЖК,2027.0,-1.0,Монолитно-кирпичный,-1.0,"Без отделки, черновая","17,3 м²",-1
Московская область,sale,flat,7,21,2,62.0,30000000.0,Свиблово,Сельскохозяйственная ,23.840736040609137,Ботанический сад,LIFE-Ботанический сад,2020.0,-1.0,-1,-1.0,-1,39 м²,11 м²
Московская область,sale,flat,7,36,2,84.3,57000000.0,Хорошево-Мневники,Шелепихинская набережная,23.840736040609137,Шелепиха,Сердце Столицы,2021.0,-1.0,-1,-1.0,-1,30 м²,40 м²
Московская область,sale,flat,5,6,2,94.0,99000000.0,Замоскворечье,Садовническая набережная,7.0,Новокузнецкая,BALCHUG VIEWPOINT,2017.0,-1.0,-1,-1.0,-1,-1,-1
Московская область,sale,flat,3,20,2,60.5,15605975.0,Приволжский,Ленинградский проспект,23.840736040609137,Аметьево,Фриссон ЖК,2027.0,-1.0,-1,-1.0,Предчистовая,-1,-1
Московская область,sale,flat,2,8,2,77.2,110000000.0,Якиманка,Софийская набережная,34.0,Новокузнецкая,Софийский,2019.0,-1.0,-1,-1.0,-1,-1,-1
Московская область,sale,flat,5,18,2,39.9,22500000.0,Левобережный,Фестивальная ,23.840736040609137,Речной вокзал,Фестиваль парк-2,2023.0,-1.0,-1,-1.0,-1,8 м²,20 м²
Московская область,sale,flat,2,59,2,31.1,,Можайский,Ленинградский проспект,23.840736040609137,Давыдково,Веер ЖК,2028.0,-1.0,Монолитно-кирпичный,-1.0,Предчистовая,"15,7 м²",-1
Московская область,sale,flat,4,6,1,35.1,23000000.0,Басманный, Покровка,23.840736040609137,Курская,Lucky,1902.0,-1.0,-1,-1.0,-1,-1,-1
Московская область,sale,flat,3,12,2,65.6,82000000.0,Раменки,Мосфильмовская ,23.840736040609137,Ломоносовский проспект,Вишневый сад,2020.0,-1.0,-1,-1.0,-1,-1,30 м²
Московская область,sale,flat,11,12,1,33.5,8000000.0,Чертаново Южное,3-й Дорожный проезд,23.840736040609137,Улица Академика Янгеля,Lucky,1972.0,-1.0,-1,-1.0,-1,17 м²,7 м²
Московская область,sale,flat,13,25,1,42.3,9500000.0,Пресненский, Рождественская,11.0,Медведково,Ньютон,2014.0,-1.0,-1,-1.0,-1,-1,10 м²
Московская область,sale,flat,6,9,2,47.0,13300000.0,Василеостровский, Кораблестроителей,23.840736040609137,Приморская,Lucky,1974.0,-1.0,-1,-1.0,-1,-1,8 м²
Московская область,sale,flat,10,17,1,41.0,9700000.0,Пресненский,Ленинградский проспект,20.0,Бачуринская,Lucky,2011.0,-1.0,-1,-1.0,-1,16 м²,10 м²
Московская область,sale,flat,12,19,2,84.0,59000000.0,Хорошево-Мневники,Шелепихинская набережная,23.840736040609137,Шелепиха,Сердце Столицы,2021.0,-1.0,-1,-1.0,-1,63 м²,16 м²
Московская область,sale,flat,5,28,-1,31.0,16200000.0,Филевский парк, Василисы Кожиной,13.0,Парк Победы,Квартал апартаментов Match Point,2021.0,-1.0,-1,-1.0,-1,17 м²,8 м²
