location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,house_material_type,living_meters,kitchen_meters
Московская область,sale,flat,24,44,3,137.0,125000000,Раменки,Минская ,2,Минская,Долина Сетунь,2017,Кирпичный,89.0,10.0
Московская область,sale,flat,7,21,4,160.6,168000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,2023,Монолитно-кирпичный,109.0,10.0
Московская область,sale,flat,4,5,3,115.0,98000000,Хамовники,Кропоткинский переулок,23,Парк Культуры,Lucky,2021,Монолитно-кирпичный,82.0,15.0
Московская область,sale,flat,3,9,4,287.0,350000000,Хамовники,Саввинская набережная,13,Киевская,SAVVIN RIVER RESIDENCE,2021,Монолитный,38.0,16.2
Московская область,sale,flat,10,17,2,52.2,9890000,Пресненский, Свердлова,50,Щёлковская,Lucky,2006,Монолитно-кирпичный,35.5,9.6
Московская область,sale,flat,4,5,1,40.17,14461200,Вахитовский,Ленинградский проспект,23,Кремлёвская,Дом на Исхаки ЖК,2026,Монолитно-кирпичный,13.4,11.6
Московская область,sale,flat,4,38,2,65.0,23000000,Ростокино,проспект Мира,23,Ростокино,Триколор,2015,Монолитный,40.0,15.0
Московская область,sale,flat,19,32,1,32.2,25000000,Пресненский,Шмитовский проезд,23,Шелепиха,Headliner,2019,Монолитный,38.0,7.0
Московская область,sale,flat,2,8,1,37.77,11535739,Вахитовский,Ленинградский проспект,23,Площадь Тукая,Яналиф ЖК,2027,Монолитно-кирпичный,17.3,12.5
Московская область,sale,flat,7,21,2,62.0,30000000,Свиблово,Сельскохозяйственная ,23,Ботанический сад,LIFE-Ботанический сад,2020,Кирпичный,39.0,11.0
Московская область,sale,flat,7,36,2,84.3,57000000,Хорошево-Мневники,Шелепихинская набережная,23,Шелепиха,Сердце Столицы,2021,Панельный,30.0,40.0
Московская область,sale,flat,5,6,2,94.0,99000000,Замоскворечье,Садовническая набережная,7,Новокузнецкая,BALCHUG VIEWPOINT,2017,Монолитный,38.0,12.5
Московская область,sale,flat,3,20,2,60.5,15605975,Приволжский,Ленинградский проспект,23,Аметьево,Фриссон ЖК,2027,Панельный,38.0,12.5
Московская область,sale,flat,2,8,2,77.2,110000000,Якиманка,Софийская набережная,34,Новокузнецкая,Софийский,2019,Монолитно-кирпичный,38.0,12.5
Московская область,sale,flat,5,18,2,39.9,22500000,Левобережный,Фестивальная ,23,Речной вокзал,Фестиваль парк-2,2023,Монолитно-кирпичный,8.0,20.0
Московская область,sale,flat,4,6,1,35.1,23000000,Басманный, Покровка,23,Курская,Lucky,1902,Монолитно-кирпичный,38.0,12.5
Московская область,sale,flat,3,12,2,65.6,82000000,Раменки,Мосфильмовская ,23,Ломоносовский проспект,Вишневый сад,2020,Панельный,38.0,30.0
Московская область,sale,flat,11,12,1,33.5,8000000,Чертаново Южное,3-й Дорожный проезд,23,Улица Академика Янгеля,Lucky,1972,Монолитный,17.0,7.0
Московская область,sale,flat,13,25,1,42.3,9500000,Пресненский, Рождественская,11,Медведково,Ньютон,2014,Монолитно-кирпичный,38.0,10.0
Московская область,sale,flat,6,9,2,47.0,13300000,Василеостровский, Кораблестроителей,23,Приморская,Lucky,1974,Монолитно-кирпичный,38.0,8.0
Московская область,sale,flat,10,17,1,41.0,9700000,Пресненский,Ленинградский проспект,20,Бачуринская,Lucky,2011,Монолитно-кирпичный,16.0,10.0
Московская область,sale,flat,12,19,2,84.0,59000000,Хорошево-Мневники,Шелепихинская набережная,23,Шелепиха,Сердце Столицы,2021,Монолитный,63.0,16.0
Московская область,sale,flat,5,28,1,31.0,16200000,Филевский парк, Василисы Кожиной,13,Парк Победы,Квартал апартаментов Match Point,2021,Монолитно-кирпичный,17.0,8.0
Московская область,sale,flat,4,9,3,70.0,32000000,Ломоносовский,Ленинский проспект,23,Новаторская,Lucky,1960,Монолитный,38.0,10.0
Московская область,sale,flat,2,7,2,134.71,323304000,Арбат,Крестовоздвиженский переулок,4,Арбатская,Luce - фамильный дом,2026,Монолитно-кирпичный,28.9,25.2
Московская область,sale,flat,5,7,3,172.26,452748561,Хамовники, Ефремова,23,Спортивная,Knightsbridge Private Park,2015,Панельный,38.0,15.0
Московская область,sale,flat,21,24,1,40.8,30000000,Хорошевский,Хорошевское шоссе,23,Полежаевская,Династия,2022,Кирпичный,25.8,10.0
Московская область,sale,flat,3,26,1,25.7,5100000,Пресненский, Солнечная,2,Люберцы,Облака 2.0,2023,Панельный,12.9,3.6
