location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,price_per_meter
Москва,sale,flat,5,24,5,182.0,145000000.0,Раменки,Ломоносовский проспект,25к3,Университет,Dominion,,,,,,,,796703.2967032967
Московская область,sale,flat,5,7,3,74.0,41500000.0,"Кв-ра ""под ключ"" в Басманном е3-комн. квартира",74 м²,5/7 этаж,,,1928,-1.0,-1,-1.0,-1,49 м²,7 м²,560810.8108108108
Московская область,sale,flat,24,44,3,137.0,125000000.0,Раменки,Минская ,2,Минская,Долина Сетунь,2017,-1.0,-1,-1.0,-1,89 м²,10 м²,912408.7591240876
Московская область,sale,flat,2,11,3,80.78,10194436.0,Прикубанский, Даниила Смоляна,65к1,,Южане,2021,-1.0,Монолитно-кирпичный,-1.0,"Без отделки, предчистовая, черновая, чистовая","37,5 м²","18,6 м²",126200.0
Московская область,sale,flat,7,21,4,160.6,168000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,2023,-1.0,-1,-1.0,-1,109 м²,10 м²,1046077.2104607722
Московская область,sale,flat,4,5,3,115.0,98000000.0,Хамовники,Кропоткинский переулок,4С1,Парк Культуры,,-1,-1.0,-1,-1.0,-1,82 м²,15 м²,852173.9130434783
Московская область,sale,flat,3,9,4,287.0,350000000.0,Хамовники,Саввинская набережная,13,Киевская,SAVVIN RIVER RESIDENCE,2021,-1.0,-1,-1.0,-1,-1,"16,2 м²",1219512.1951219512
Московская область,sale,flat,3,18,3,79.2,12299760.0,,,,,Эрмитаж,2027,-1.0,-1,-1.0,Предчистовая,"37,9 м²","21,3 м²",155300.0
Московская область,sale,flat,3,6,2,236.0,130000000.0,,,,,Жуковка Шале,-1,-1.0,-1,-1.0,-1,-1,-1,550847.4576271187
Московская область,sale,flat,10,17,2,52.2,9890000.0,, Свердлова,50.0,Щёлковская,,2006,-1.0,-1,-1.0,-1,"35,5 м²","9,6 м²",189463.60153256703
Московская область,sale,flat,11,17,1,21.0,9905700.0,Адлерский,,,,Лестория,2026,-1.0,-1,-1.0,Без отделки,9 м²,"4,4 м²",471700.0
Московская область,sale,flat,3,6,1,47.3,18120000.0,Адлерский,Веселая ,82/1Б,,Green Sail Park,2020,-1.0,-1,-1.0,-1,15 м²,30 м²,383086.6807610994
Московская область,sale,flat,3,4,2,62.58,6758640.0,,,,,О2 (Кислород),2024,-1.0,-1,-1.0,Неизвестно,-1,-1,108000.0
Московская область,sale,flat,7,9,2,78.0,19800000.0,Адлерский, Интернациональная,3/1,,,-1,-1.0,-1,-1.0,-1,-1,20 м²,253846.15384615384
Московская область,sale,flat,4,5,1,40.17,14461200.0,Вахитовский,,,Кремлёвская,Дом на Исхаки ЖК,2026,-1.0,Монолитно-кирпичный,-1.0,Предчистовая,"13,4 м²","11,6 м²",360000.0
Московская область,sale,flat,15,21,2,76.0,20000000.0,Хостинский, Яна Фабрициуса,2/4б,,,2008,-1.0,-1,-1.0,-1,-1,10 м²,263157.8947368421
Московская область,sale,flat,2,8,1,42.78,4962480.0,Аксай, Луначарского,52,,Простор,2025,-1.0,Монолитно-кирпичный,-1.0,Предчистовая,"11,7 м²",20 м²,116000.0
Московская область,sale,flat,3,6,1,52.0,20360000.0,Адлерский,Веселая ,82/1Б,,Green Sail Park,2021,-1.0,-1,-1.0,-1,15 м²,35 м²,391538.46153846156
Московская область,sale,flat,2,4,1,29.45,10560000.0,Светлогорск, Нахимова,,,Палатиум,2026,-1.0,-1,-1.0,Предчистовая,-1,-1,358573.85398981324
Московская область,sale,flat,4,38,2,65.0,23000000.0,Ростокино,проспект Мира,188Бк4,Ростокино,Триколор,2015,-1.0,-1,-1.0,-1,40 м²,15 м²,353846.1538461539
Московская область,sale,flat,2,4,2,51.11,11755300.0,,,,,Усадьба Гостагаевская,2026,-1.0,-1,-1.0,Предчистовая,-1,-1,230000.0
Московская область,sale,flat,19,32,1,32.2,25000000.0,Пресненский,Шмитовский проезд,39к2,Шелепиха,Headliner,2019,-1.0,-1,-1.0,-1,-1,7 м²,776397.5155279503
Московская область,sale,flat,2,8,1,37.77,11535739.0,Вахитовский,,,Площадь Тукая,Яналиф ЖК,2027,-1.0,Монолитно-кирпичный,-1.0,"Без отделки, черновая","17,3 м²",-1,305420.6777866031
Московская область,sale,flat,7,21,2,62.0,30000000.0,Свиблово,Сельскохозяйственная ,38к1,Ботанический сад,LIFE-Ботанический сад,2020,-1.0,-1,-1.0,-1,39 м²,11 м²,483870.96774193546
Московская область,sale,flat,6,7,2,68.92,24345919.0,Анапа,шоссе Симферопольское,58,,Европа,2023,-1.0,Монолитный,-1.0,"Чистовая, чистовая с мебелью","35,4 м²",-1,353248.96982008126
Московская область,sale,flat,7,36,2,84.3,57000000.0,Хорошево-Мневники,Шелепихинская набережная,34к3зд6,Шелепиха,Сердце Столицы,-1,-1.0,-1,-1.0,-1,30 м²,40 м²,676156.5836298933
Московская область,sale,flat,2,12,2,52.76,19257400.0,Центральный,Пластунская ,104Б,,Южный Парк,2023,-1.0,Кирпичный,-1.0,Без отделки,-1,5 м²,365000.0
Московская область,sale,flat,5,6,2,94.0,99000000.0,Замоскворечье,Садовническая набережная,7,Новокузнецкая,BALCHUG VIEWPOINT,2017,-1.0,-1,-1.0,-1,-1,-1,1053191.4893617022
Московская область,sale,flat,3,20,2,60.5,15605975.0,Приволжский,,,Аметьево,Фриссон ЖК,2027,-1.0,-1,-1.0,Предчистовая,-1,-1,257950.0
Московская область,sale,flat,2,8,2,77.2,110000000.0,Якиманка,Софийская набережная,34,Новокузнецкая,Софийский,2019,-1.0,-1,-1.0,-1,-1,-1,1424870.4663212434
Московская область,sale,flat,3,30,1,40.27,7438594.0,Октябрьский,,,,Урман Сити ЖК,2026,-1.0,Монолитно-кирпичный,-1.0,Без отделки,"23,9 м²","6,5 м²",184718.0034765334
Московская область,sale,flat,5,18,2,39.9,22500000.0,Левобережный,Фестивальная ,15К4,Речной вокзал,Фестиваль парк-2,2023,-1.0,-1,-1.0,-1,8 м²,20 м²,563909.7744360903
Московская область,sale,flat,2,59,2,31.1,,Можайский,,,Давыдково,Веер ЖК,2028,-1.0,Монолитно-кирпичный,-1.0,Предчистовая,"15,7 м²",-1,
Московская область,sale,flat,4,6,1,35.1,23000000.0,Басманный, Покровка,38С1,Курская,,1902,-1.0,-1,-1.0,-1,-1,-1,655270.6552706553
Московская область,sale,flat,14,24,1,36.98,9096000.0,,,,,Гарантия на Обрывной,2023,-1.0,Монолитно-кирпичный,-1.0,Без отделки,"15,3 м²","12,4 м²",245970.7950243375
Московская область,sale,flat,3,12,2,65.6,82000000.0,Раменки,Мосфильмовская ,1к5,Ломоносовский проспект,Вишневый сад,2020,-1.0,-1,-1.0,-1,-1,30 м²,1250000.0
Московская область,sale,flat,19,23,1,35.55,6445215.0,мкр. КСК,Уральская ,87/7,,URAL,2024,-1.0,Монолитный,-1.0,"Без отделки, предчистовая, черновая, чистовая","10,1 м²","16,2 м²",181300.0
Московская область,sale,flat,11,12,1,33.5,8000000.0,Чертаново Южное,3-й Дорожный проезд,6К1,Улица Академика Янгеля,,1972,-1.0,-1,-1.0,-1,17 м²,7 м²,238805.97014925373
Московская область,sale,flat,4,18,2,48.4,7211600.0,,,,,Порто-Ново,2026,-1.0,-1,-1.0,Чистовая,"23,2 м²","11,3 м²",149000.0
Московская область,sale,flat,13,25,1,42.3,9500000.0,, Рождественская,11,Медведково,Ньютон,2014,-1.0,-1,-1.0,-1,-1,10 м²,224586.28841607567
Московская область,sale,flat,6,9,2,47.0,13300000.0,Василеостровский, Кораблестроителей,19К1,Приморская,,1974,-1.0,-1,-1.0,-1,-1,8 м²,282978.72340425535
Московская область,sale,flat,10,17,1,41.0,9700000.0,,,20,Бачуринская,,2011,-1.0,-1,-1.0,-1,16 м²,10 м²,236585.36585365853
Московская область,sale,flat,9,21,2,60.35,7543750.0,мкр. ХБК,Уральская ,100/8,,Режиссёр,2025,-1.0,-1,-1.0,Без отделки,"32,4 м²",15 м²,125000.0
Московская область,sale,flat,12,19,2,84.0,59000000.0,Хорошево-Мневники,Шелепихинская набережная,34к2,Шелепиха,Сердце Столицы,-1,-1.0,-1,-1.0,-1,63 м²,16 м²,702380.9523809524
