location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters
Московская область,sale,flat,14,24,1,36.98,9096000.0,,Ленинградский проспект,23.840736040609137,,Гарантия на Обрывной,2023,-1.0,Монолитно-кирпичный,-1.0,Без отделки,"15,3 м²","12,4 м²"
Московская область,sale,flat,3,12,2,65.6,82000000.0,Раменки,Мосфильмовская ,23.840736040609137,Ломоносовский проспект,Вишневый сад,2020,-1.0,-1,-1.0,-1,-1,30 м²
Московская область,sale,flat,19,23,1,35.55,6445215.0,мкр. КСК,Уральская ,23.840736040609137,,URAL,2024,-1.0,Монолитный,-1.0,"Без отделки, предчистовая, черновая, чистовая","10,1 м²","16,2 м²"
Московская область,sale,flat,11,12,1,33.5,8000000.0,Чертаново Южное,3-й Дорожный проезд,23.840736040609137,Улица Академика Янгеля,,1972,-1.0,-1,-1.0,-1,17 м²,7 м²
Московская область,sale,flat,4,18,2,48.4,7211600.0,,Ленинградский проспект,23.840736040609137,,Порто-Ново,2026,-1.0,-1,-1.0,Чистовая,"23,2 м²","11,3 м²"
Московская область,sale,flat,13,25,1,42.3,9500000.0,, Рождественская,11.0,Медведково,Ньютон,2014,-1.0,-1,-1.0,-1,-1,10 м²
Московская область,sale,flat,6,9,2,47.0,13300000.0,Василеостровский, Кораблестроителей,23.840736040609137,Приморская,,1974,-1.0,-1,-1.0,-1,-1,8 м²
Московская область,sale,flat,10,17,1,41.0,9700000.0,,Ленинградский проспект,20.0,Бачуринская,,2011,-1.0,-1,-1.0,-1,16 м²,10 м²
Московская область,sale,flat,9,21,2,60.35,7543750.0,мкр. ХБК,Уральская ,23.840736040609137,,Режиссёр,2025,-1.0,-1,-1.0,Без отделки,"32,4 м²",15 м²
Московская область,sale,flat,12,19,2,84.0,59000000.0,Хорошево-Мневники,Шелепихинская набережная,23.840736040609137,Шелепиха,Сердце Столицы,-1,-1.0,-1,-1.0,-1,63 м²,16 м²
Московская область,sale,flat,3,5,2,71.3,39950000.0,Курортный, Максима Горького,23.840736040609137,,Russian seasons,2020,-1.0,-1,-1.0,-1,"28,4 м²","26,4 м²"
Московская область,sale,flat,21,22,2,41.71,5901000.0,мкр. Приморский, Рассветная,23.840736040609137,,Малина,2022,-1.0,Монолитный,-1.0,"Без отделки, предчистовая, черновая, чистовая",-1,20 м²
Московская область,sale,flat,5,28,-1,31.0,16200000.0,Филевский парк, Василисы Кожиной,13.0,Парк Победы,Квартал апартаментов Match Point,-1,-1.0,-1,-1.0,-1,17 м²,8 м²
Московская область,sale,flat,3,15,1,40.7,5700000.0,,Ленинградский проспект,23.840736040609137,,Супонево,2013,-1.0,-1,-1.0,-1,18 м²,12 м²
Московская область,sale,flat,12,14,1,31.0,10900000.0,Дагомыс пгт, Старошоссейная,23.840736040609137,,Каравелла Португалии,2020,-1.0,-1,-1.0,-1,-1,-1
Московская область,sale,flat,7,17,3,70.0,27500000.0,Центральный, Чайковского,23.840736040609137,,,2011,-1.0,-1,-1.0,-1,42 м²,25 м²
Московская область,sale,flat,4,9,3,70.0,32000000.0,Ломоносовский,Ленинский проспект,23.840736040609137,Новаторская,,1960,-1.0,-1,-1.0,-1,-1,10 м²
Московская область,sale,flat,2,7,2,134.71,323304000.0,Арбат,Крестовоздвиженский переулок,4.0,Арбатская,Luce - фамильный дом,2026,-1.0,Монолитно-кирпичный,-1.0,"Предчистовая, чистовая","28,9 м²","25,2 м²"
Московская область,sale,flat,5,7,3,172.26,452748561.0,Хамовники, Ефремова,23.840736040609137,Спортивная,Knightsbridge Private Park,2015,-1.0,-1,-1.0,-1,-1,15 м²
Московская область,sale,flat,21,24,1,40.8,30000000.0,Хорошевский,Хорошевское шоссе,23.840736040609137,Полежаевская,Династия,2022,-1.0,-1,-1.0,-1,"25,8 м²",10 м²
Московская область,sale,flat,3,26,1,25.7,5100000.0,, Солнечная,2.0,Люберцы,Облака 2.0,2023,-1.0,-1,-1.0,-1,"12,9 м²","3,6 м²"
Московская область,sale,flat,8,9,1,40.4,17652698.0,Красногвардейский, Стахановцев,1.0,Новочеркасская,"Малоохтинский, 68",2024,-1.0,"Монолитно-кирпичный, монолитный",-1.0,Предчистовая,"11,8 м²","15,7 м²"
Московская область,sale,flat,17,33,1,23.4,7600000.0,, Сосновая,23.840736040609137,Котельники,,2022,-1.0,-1,-1.0,-1,-1,4 м²
Московская область,sale,flat,2,16,1,22.64,6350000.0,Молжаниновский,Ленинградское шоссе,23.840736040609137,Новоподрезково,Молжаниново,2024,-1.0,-1,-1.0,-1,"11,1 м²","3,6 м²"
Московская область,sale,flat,1,5,1,35.3,2950000.0,Конаково, Гагарина,12.0,,,-1,-1.0,-1,-1.0,-1,"20,5 м²",7 м²
