location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,house_material_type,living_meters,kitchen_meters
Московская область,sale,flat,9,17,1,36.8,7600000.0,Пресненский, Декабристов,8,ВДНХ,На высоте,2021.0,Кирпичный,18 м²,10 м²
Московская область,sale,flat,4,33,1,42.9,23600000.0,Останкинский, Годовикова,23,Алексеевская,iLove,2021.0,Монолитный,"22,9 м²",15 м²
Московская область,sale,flat,10,11,-1,40.5,10969344.0,Василеостровский,проспект Средний Васильевского острова,23,Василеостровская,Клубные апартаменты Next,2020.0,Кирпичный,-1,-1
Московская область,sale,flat,6,8,-1,27.8,12927000.0,Петроградский,проспект Малый Петроградской стороны,23,Петроградская,Lucky,2023.0,Монолитно-кирпичный,"12,5 м²",-1
Московская область,sale,flat,2,44,1,31.61,14381127.0,Кунцево,48-й кв-л,23,Кунцевская,Кутузовский Квартал ЖК,2027.0,Монолитный,"9,4 м²",-1
Московская область,sale,flat,21,40,3,84.2,38500000.0,Даниловский,бульвар Братьев Весниных,1,ЗИЛ,ЗИЛАРТ,2023.0,Кирпичный,60 м²,20 м²
Московская область,sale,flat,16,24,3,91.0,22800000.0,Южное Бутово,Скобелевская ,23,Улица Скобелевская,Lucky,2021.0,Монолитно-кирпичный,45 м²,12 м²
Московская область,sale,flat,3,18,2,48.5,35800507.0,Донской,2-й Донской проезд,10,Ленинский проспект,SHIFT,2028.0,Монолитный,-1,-1
Московская область,sale,flat,3,6,3,138.0,129000000.0,Тверской,1-й Колобовский переулок,14,Трубная,Lucky,2005.0,Монолитный,-1,15 м²
Московская область,sale,flat,2,5,3,207.4,435330900.0,Тверской,Никольская ,23,Лубянка,St. Nickolas,2015.0,Монолитный,-1,20 м²
Москва,sale,flat,14,18,4,138.5,158765458.0,Донской,2-й Донской проезд,10,Ленинский проспект,SHIFT,2028.0,Монолитный,-1,-1
Москва,sale,flat,3,9,4,130.0,205000000.0,Хамовники,Саввинская набережная,13,Киевская,SAVVIN RIVER RESIDENCE,2021.0,Монолитно-кирпичный,-1,10 м²
Москва,sale,flat,3,20,4,102.4,18953124.0,Пресненский,Ленинградский проспект,3,Филатов Луг,Город-парк Первый Московский,2027.0,"Панельный, монолитный","47,4 м²",-1
Москва,sale,flat,59,67,4,131.0,137550000.0,Пресненский,Краснопресненская набережная,23,Москва-Сити,Capital Towers,2021.0,Монолитный,-1,15 м²
Москва,sale,flat,11,17,1,37.6,10800000.0,Пресненский, Бориса Пастернака,49,Мичуринец,Lucky,2019.0,Монолитно-кирпичный,-1,"9,1 м²"
Москва,sale,flat,10,14,1,35.1,11250000.0,Чертаново Северное,Чертановская ,23,Южная,Lucky,1969.0,Панельный,-1,9 м²
Москва,sale,flat,46,53,1,47.4,21396170.0,Свиблово,проезд Серебрякова,23,Ботанический сад,Afi Tower,2024.0,Монолитно-кирпичный,-1,-1
Москва,sale,flat,3,5,1,46.3,41670000.0,Замоскворечье,Озерковская набережная,6,Новокузнецкая,Bogenhouse,2021.0,Панельный,32 м²,-1
Москва,sale,flat,4,5,1,33.0,9800000.0,Восточное Измайлово,11-я Парковая ,34,Первомайская,Lucky,2021.0,Монолитно-кирпичный,20 м²,9 м²
Москва,sale,flat,4,29,1,57.9,33900000.0,Филевский парк,Береговой проезд,3,Фили,Береговой,2021.0,Кирпичный,12 м²,32 м²
Москва,sale,flat,7,21,4,160.6,168000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,2023.0,Кирпичный,109 м²,10 м²
Москва,sale,flat,13,16,4,158.0,180000000.0,Раменки,Воробьевское шоссе,23,Поклонная,Воробьёв Дом,2017.0,Кирпичный,109 м²,15 м²
Москва,sale,flat,43,47,3,79.1,32036687.0,Обручевский,Ленинградский проспект,23,Воронцовская,Архитектор ЖК,2024.0,Монолитно-кирпичный,"39,8 м²","17,8 м²"
Москва,sale,flat,2,6,3,80.0,82000000.0,Замоскворечье,Большой Ордынский переулок,23,Третьяковская,Собрание клубных домов ORDYNKA,2019.0,Монолитно-кирпичный,-1,-1
Москва,sale,flat,15,19,3,107.0,98900000.0,Раменки,Ломоносовский проспект,23,Университет,Dominion,2021.0,Монолитный,92 м²,8 м²
Москва,sale,flat,25,26,3,63.3,29505510.0,Нагатино-Садовники,Нагатинская набережная,23,Нагатинская,Level Нагатинская,2024.0,Монолитный,"25,5 м²",18 м²
Москва,sale,flat,2,10,4,136.1,152135071.0,Дорогомилово,Ленинградский проспект,23,Поклонная,Виктори Парк Резиденсез ЖК,2024.0,Монолитный,-1,-1
Москва,sale,flat,22,22,1,17.2,8780000.0,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,Lucky,1980.0,Панельный,"9,2 м²",3 м²
Москва,sale,flat,4,15,1,32.4,14000000.0,Хорошевский,Ходынский бульвар,23,ЦСКА,Лайнер,2017.0,Панельный,18 м²,6 м²
Москва,sale,flat,24,37,1,35.0,12112893.0,Нижегородский,Ленинградский проспект,23,Нижегородская,Левел Нижегородская ЖК,2026.0,Монолитный,"11,8 м²",-1
Москва,sale,flat,4,33,3,74.72,44301488.0,Пресненский,к2.3,23,Белорусская,Репаблик ЖК,2025.0,Монолитный,"44,6 м²",-1
Москва,sale,flat,11,19,3,139.5,90000000.0,Хорошево-Мневники,Шелепихинская набережная,23,Шелепиха,Lucky,2019.0,Монолитно-кирпичный,80 м²,17 м²
Москва,sale,flat,8,17,3,142.1,91228200.0,Гагаринский,Ленинский проспект,38,Ленинский проспект,Lunar,2024.0,Панельный,"92,3 м²","8,2 м²"
Москва,sale,flat,3,14,3,72.0,38000000.0,Раменки,проспект Генерала Дорохова,23,Минская,Собрание клубных домов West Garden,2023.0,Монолитно-кирпичный,50 м²,10 м²
Москва,sale,flat,3,6,3,138.0,129000000.0,Тверской,1-й Колобовский переулок,14,Трубная,Lucky,2005.0,Монолитно-кирпичный,-1,15 м²
